#,id,dateCreated,dateModified,createdBy,createdByName,modifiedBy,modifiedByName,c_transaction_id,c_transaction_date,c_ticker,c_amount,c_quantity,c_statement_reference,c_fee,c_trx_account_id,c_allocated_amount,c_description,c_statement_id,c_bank_payment_trx_id,c_transaction_type,c_type,c_reference,c_bank_fee_trx_id,c_total_amount,c_price,c_currency,c_comment,c_internal_type,c_acc_post_id,c_value_date,c_status,c_error_message,c_error_date,c_enrichment_date,c_enrichment_id,c_enriched_record_id
1,04b1e86a-b7e1-4bd5-9af2-dab4c0326a1a,2026-03-12 20:39:55.000000,,system,,,,,2024-07-31,SMCI,-14000.00,20.000000,STMT2026.022,-19.60,,,SuperMicro Computer Inc.,42735f9f-5103-4b09-b324-de12793325c3,,,ost,940524330,,-14019.60,700.000000000000,USD,,,,2024-08-01,enriched,,,2026-03-12 20:40:04,,TRX-2A65F5
2,0fb2b649-2b8a-4ecb-b762-8207acc5b6bb,2026-03-12 20:39:55.000000,,system,,,,,2024-07-24,ADBE,21425.04,-40.000000,STMT2026.015,-30.00,,,Adobe Systems Inc,42735f9f-5103-4b09-b324-de12793325c3,,,müük,936535478,,21395.04,535.626000000000,USD,,,,2024-07-25,enriched,,,2026-03-12 20:40:04,,TRX-BF26DC
3,101dbed0-5358-4f62-9584-746350a4ae73,2026-03-12 20:39:55.000000,,system,,,,,2024-07-26,FLNC,-4122.50,250.000000,STMT2026.018,-9.77,,,Fluence Energy Inc,42735f9f-5103-4b09-b324-de12793325c3,,,ost,"937700032,937700033",,-4132.27,16.490000000000,USD,,,,2024-07-29,enriched,,,2026-03-12 20:40:04,,TRX-71299C
4,114e60f0-a128-40ec-8389-ef9ce8c9934d,2026-03-12 20:39:55.000000,,system,,,,,2024-06-24,NVDA,12250.00,-100.000000,STMT2026.008,-17.15,,,NVIDIA Corporation,42735f9f-5103-4b09-b324-de12793325c3,,,müük,916672966,,12232.85,122.500000000000,USD,,,,2024-06-25,enriched,,,2026-03-12 20:40:04,,TRX-5BB336
5,1395a348-12ee-4393-af07-7106acfcc278,2026-03-12 20:39:55.000000,,system,,,,,2024-06-05,HLMBK095034FA,-2123.70,2.000000,STMT2026.002,-10.24,,,Holm Bank 9.50% võlakiri 30.05.2034,42735f9f-5103-4b09-b324-de12793325c3,,,ost,"903745878,903708400",,-2133.94,1061.847220000000,EUR,,,,2024-06-07,enriched,,,2026-03-12 20:40:04,,TRX-7B9F2F
6,15545659-f89c-4114-b952-771f5ea1e4b4,2026-03-12 20:39:55.000000,,system,,,,,2024-06-05,FLNC,-3429.00,150.000000,STMT2026.001,-9.78,,,Fluence Energy Inc,42735f9f-5103-4b09-b324-de12793325c3,,,ost,"904061446,904061450",,-3438.78,22.860000000000,USD,,,,2024-06-06,enriched,,,2026-03-12 20:40:04,,TRX-5D5A57
7,29a2d747-bd7a-4107-9eef-68dbc7813896,2026-03-12 20:39:55.000000,,system,,,,,2024-07-17,HYLN,2510.00,-1000.000000,STMT2026.012,-9.84,,,Hyliion Holdings Corporation,42735f9f-5103-4b09-b324-de12793325c3,,,müük,"932677233,932677234,932677237,932677238,932677240",,2500.16,2.510000000000,USD,,,,2024-07-18,enriched,,,2026-03-12 20:40:04,,TRX-9558D2
8,51680ae3-5832-4e2e-bc8d-7c09f7a495f1,2026-03-12 20:39:55.000000,,system,,,,,2024-07-24,MU,11198.91,-100.000000,STMT2026.017,-15.67,,,MICRON TECHNOLOGY INC,42735f9f-5103-4b09-b324-de12793325c3,,,müük,"936551841,936551847,936551849,936551852,936551853,936551858,936551859,936551867,936551870",,11183.24,111.987777777778,USD,,,,2024-07-25,enriched,,,2026-03-12 20:40:04,,TRX-0B53E3
9,5872a2ac-eda4-4cf1-8c53-9fafff4b690c,2026-03-12 20:39:55.000000,,system,,,,,2024-07-29,CRWD,-9169.65,35.000000,STMT2026.019,-12.84,,,CROWDSTRIKE HOLDINGS INC - A,42735f9f-5103-4b09-b324-de12793325c3,,,ost,939148233,,-9182.49,261.990000000000,USD,,,,2024-07-30,enriched,,,2026-03-12 20:40:04,,TRX-4C0097
10,5b409d29-25d5-499b-aff6-b03171089b90,2026-03-12 20:39:55.000000,,system,,,,,2024-06-26,MU,-14200.00,100.000000,STMT2026.009,-19.88,,,MICRON TECHNOLOGY INC,42735f9f-5103-4b09-b324-de12793325c3,,,ost,917962047,,-14219.88,142.000000000000,USD,,,,2024-06-27,enriched,,,2026-03-12 20:40:04,,TRX-769522
11,6edbaf49-3702-44af-b6d7-b9b001ed2edf,2026-03-12 20:39:55.000000,,system,,,,,2024-06-10,NVDA,0.00,-20.000000,STMT2026.004,0.00,,,NVIDIA Corporation,42735f9f-5103-4b09-b324-de12793325c3,,,split-,907202454,,0.00,780.000000000000,USD,,,,2024-06-10,enriched,,,2026-03-12 20:40:04,,TRX-C4321E
12,82f2bdcf-205e-4a6a-9b7a-f19d2117da49,2026-03-12 20:39:55.000000,,system,,,,,2024-07-10,ILMN,-11318.00,100.000000,STMT2026.010,-15.85,,,Illumina Inc,42735f9f-5103-4b09-b324-de12793325c3,,,ost,928011626,,-11333.85,113.180000000000,USD,,,,2024-07-11,enriched,,,2026-03-12 20:40:04,,TRX-3BEBC9
13,831673d7-b03e-406b-804f-7d68e0d441f5,2026-03-12 20:39:55.000000,,system,,,,,2024-07-31,MSFT,-12330.00,30.000000,STMT2026.021,-17.26,,,Microsoft Corporation,42735f9f-5103-4b09-b324-de12793325c3,,,ost,940322942,,-12347.26,411.000000000000,USD,,,,2024-08-01,enriched,,,2026-03-12 20:40:04,,TRX-55FA4E
14,8f09984d-5c46-4312-93bd-12830269de62,2026-03-12 20:39:55.000000,,system,,,,,2024-06-05,LHV1T,-8050.00,2300.000000,STMT2026.003,0.00,,,LHV Group,42735f9f-5103-4b09-b324-de12793325c3,,,ost,"903867200,903867343,903869459,903872803,903874667,903897704",,-8050.00,3.500000000000,EUR,,,,2024-06-07,enriched,,,2026-03-12 20:40:04,,TRX-7091D6
15,b3084a21-078e-45e4-8547-50a89c8f8238,2026-03-12 20:39:55.000000,,system,,,,,2024-07-17,CRWD,12550.56,-35.000000,STMT2026.011,-17.56,,,CROWDSTRIKE HOLDINGS INC - A,42735f9f-5103-4b09-b324-de12793325c3,,,müük,"932494823,932494830",,12533.00,358.882500000000,USD,,,,2024-07-18,enriched,,,2026-03-12 20:40:04,,TRX-D314F2
16,bccfa657-dac4-4e92-a3a1-35240b9566e4,2026-03-12 20:39:55.000000,,system,,,,,2024-06-18,NEM,-7257.25,175.000000,STMT2026.007,-10.15,,,NEWMONT MNG CORP,42735f9f-5103-4b09-b324-de12793325c3,,,ost,"913288848,913288851,913288852",,-7267.40,41.470000000000,USD,,,,2024-06-20,enriched,,,2026-03-12 20:40:04,,TRX-0A98F2
